acquisitionInformation.acquisitionParameters.acquisitionSystemName	acquisitionInformation.acquisitionParameters.acquisitionSystemType	acquisitionInformation.acquisitionParameters.antennaToSource_inMeters	acquisitionInformation.acquisitionParameters.cableLength_inMeters	acquisitionInformation.acquisitionParameters.cableReceiverDepthRecorded	acquisitionInformation.acquisitionParameters.cableReceiverDepth_inMeters	acquisitionInformation.acquisitionParameters.channelLength_inMeters	acquisitionInformation.acquisitionParameters.compassBirds	acquisitionInformation.acquisitionParameters.nearChannelNumber	acquisitionInformation.acquisitionParameters.numberOfCables	acquisitionInformation.acquisitionParameters.numberOfChannelsEachCable	acquisitionInformation.acquisitionParameters.numberOfChannelsRecorded	acquisitionInformation.acquisitionParameters.receiverType	acquisitionInformation.acquisitionParameters.recordLength_inSeconds	acquisitionInformation.acquisitionParameters.sampleInterval_inMicroseconds	acquisitionInformation.acquisitionParameters.seismicNavSystem	acquisitionInformation.acquisitionParameters.shotControl	acquisitionInformation.acquisitionParameters.shotInterval_inSecondsOrMeters	acquisitionInformation.acquisitionParameters.sourceArraySeparation_inMeters	acquisitionInformation.acquisitionParameters.sourceDepth_inMeters	acquisitionInformation.acquisitionParameters.sourceNumber	acquisitionInformation.acquisitionParameters.sourcePressure_inBars	acquisitionInformation.acquisitionParameters.sourceToNearChannel_inMeters	acquisitionInformation.acquisitionParameters.sourceType	acquisitionInformation.acquisitionParameters.sourceVolume	acquisitionInformation.acquisitionParameters.sourceVolumeUnits	acquisitionInformation.acquisitionParameters.tailBuoyPositioning	acquisitionInformation.platformInformation.platform	acquisitionInformation.platformInformation.platformOrganization	acquisitionInformation.seismicNavFile.dataFileFormat	acquisitionInformation.seismicNavFile.offsetsApplied	acquisitionInformation.seismicNavFile.surveyDatum	datasetInformation.boundingCoordinates.eastLong	datasetInformation.boundingCoordinates.northLat	datasetInformation.boundingCoordinates.southLat	datasetInformation.boundingCoordinates.westLong	datasetInformation.dataClass	datasetInformation.dataContact.contactInformation.email	datasetInformation.dataContact.contactInformation.name	datasetInformation.dataContact.contactInformation.organization	datasetInformation.dataContact.contactInformation.role	datasetInformation.dataMedia	datasetInformation.dataType	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.email	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.name	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.organization	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.role	datasetInformation.datasetAccessControl.accessControl.accessReleaseDate	datasetInformation.datasetAccessControl.accessControl.accessState	datasetInformation.datasetContentLink	datasetInformation.datasetDescription	datasetInformation.datasetID	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.email	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.name	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.organization	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.role	datasetInformation.datasetProcessing.processingParameters.processingScope	datasetInformation.datasetProcessing.processingParameters.processingStep	datasetInformation.datasetProcessing.processingParameters.processingStepDate	datasetInformation.datasetQualityDescription	datasetInformation.datasetSize	datasetInformation.datasetStartDate.date	datasetInformation.datasetStartDate.dateTypeCode	datasetInformation.datasetTitle	datasetInformation.datasetZipLink	datasetInformation.documentation.citationInformation.author	datasetInformation.documentation.citationInformation.citationDate.date	datasetInformation.documentation.citationInformation.citationDate.dateTypeCode	datasetInformation.documentation.citationInformation.doi	datasetInformation.documentation.citationInformation.journalName	datasetInformation.documentation.citationInformation.onlineLinkage	datasetInformation.documentation.citationInformation.page	datasetInformation.documentation.citationInformation.title	datasetInformation.documentation.citationInformation.volume	datasetInformation.geographicFeatures.featureName	datasetInformation.processedDataClass	datasetInformation.processedMethod	datasetInformation.purpose	datasetInformation.resourceProvider.contactInformation.email	datasetInformation.resourceProvider.contactInformation.name	datasetInformation.resourceProvider.contactInformation.organization	datasetInformation.resourceProvider.contactInformation.role	datasetInformation.seismicDataProvenance	datasetInformation.supplementalInformation	datasetInformation.temporalExtent.endDate	datasetInformation.temporalExtent.startDate	metadataInformation.dateOfSubmission	metadataInformation.metadataContact.contactInformation.email	metadataInformation.metadataContact.contactInformation.name	metadataInformation.metadataContact.contactInformation.organization	metadataInformation.metadataContact.contactInformation.role	metadataInformation.metadataDate	metadataInformation.metadataStandard
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	no	NAD27	-91.73830	27.39566	26.28645	-93.48671	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2010-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-17-85-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-17-85-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	270.1 KB	1985-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1985/namss.B-17-85-LA.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1985-01-31	1985-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital	185.01360	2986.73520			12.49680					240	Hydrophone_Streamer	7.00000	2000	Long Range Navigation	Distance	24.99360		7.49808			99.97440	SeismicSource_Gun_Air	7524.00000	Cubic Inches		Sea Searcher	Geco	SEGP1	undocumented	NAD27	-84.95738	30.11165	29.34511	-88.32031	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2011-11-24	open	https://walrus.wr.usgs.gov/namss/survey/b-17-86-mi/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-17-86-MI.mcs.airgun.zip					dataset	Unspecified		Unspecified	28.8 MB	1986-11-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1986/namss.B-17-86-MI.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1986-11-30	1986-11-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-86.90671	28.51085	27.40997	-87.97788	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2013-01-31	open	https://walrus.wr.usgs.gov/namss/survey/b-17-88-mi/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-17-88-MI.mcs.airgun.zip					dataset	Unspecified		Unspecified	296.3 MB	1988-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1988/namss.B-17-88-MI.mcs.airgun.zip											Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1988-01-31	1988-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-83.72369	27.39212	26.23627	-84.25475	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2006-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-18-81-mi/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-18-81-MI.mcs.airgun.zip					dataset	Unspecified		Unspecified	5.6 MB	1981-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1981/namss.B-18-81-MI.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1981-01-31	1981-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-93.35206	27.32483	25.93062	-96.26035	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2011-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-18-86-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-18-86-TX.mcs.airgun.zip					dataset	Unspecified		Unspecified	311.3 MB	1986-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1986/namss.B-18-86-TX.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1986-01-31	1986-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						N83	no	NAD83	-160.63217	56.82063	55.22042	-168.69039	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact		open	https://walrus.wr.usgs.gov/namss/survey/b-19-81-ak/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-19-81-AK.mcs.airgun.zip					dataset	Unspecified		Unspecified	10.4 GB	1981-06-08	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1981/namss.B-19-81-AK.mcs.airgun.zip										Alaska	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1981-07-29	1981-06-08	2017-03-08	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital	67.97040	2974.23840		9.14400	24.99360					120	Hydrophone_Streamer	7.00000	2000		Distance	24.99360		6.09600	14		303.58080	SeismicSource_Gun_Air				Pheonix	Fairfield Ind	SEGP1	undocumented	NAD27	-87.40892	30.21693	29.70282	-88.74071	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2009-07-25	open	https://walrus.wr.usgs.gov/namss/survey/b-19-84-mi/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-19-84-MI.mcs.airgun.zip					dataset	Unspecified		Unspecified	107.2 MB	1984-07-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1984/namss.B-19-84-MI.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1984-07-31	1984-07-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-IV	digital		2399.38560			49.98720					48	Hydrophone_Streamer		4000		Distance	99.97440		3.04800				SeismicSource_Gun_Air	900.00000	Cubic Inches				SEGP1	undocumented	NAD27	-93.32667	29.70615	29.62007	-93.45369	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2000-12-24	open	https://walrus.wr.usgs.gov/namss/survey/b-20-75-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-20-75-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	13.3 MB	1975-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1975/namss.B-20-75-LA.mcs.airgun.zip										West Cameron	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1975-12-31	1975-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-87.90721	29.67971	28.12890	-93.52063	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2003-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-20-78-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-20-78-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	442.1 MB	1978-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1978/namss.B-20-78-LA.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1978-01-31	1978-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital					24.99360					120	Hydrophone_Streamer	5.00000	2000		Distance	24.99360			9		187.45200	SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-83.43547	26.18953	25.98135	-83.69279	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2006-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-20-81-fl/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-20-81-FL.mcs.airgun.zip					dataset	Unspecified		Unspecified	15.1 MB	1981-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1981/namss.B-20-81-FL.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1981-01-31	1981-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-93.57168	29.22110	26.68260	-97.05201	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2008-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-20-83-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-20-83-TX.mcs.airgun.zip					dataset	Unspecified		Unspecified	436.8 MB	1983-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1983/namss.B-20-83-TX.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1983-01-31	1983-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DDS-888	digital					67.05600					48	Hydrophone_Streamer	6.00000	4000		Distance	67.05600						Other						SEGP1	undocumented	NAD27	-89.47675	29.10406	29.00564	-89.71245	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2000-12-24	open	https://walrus.wr.usgs.gov/namss/survey/b-21-75-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-21-75-LA.mcs.aquapulse.zip					dataset	Unspecified		Unspecified	24.3 MB	1975-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1975/namss.B-21-75-LA.mcs.aquapulse.zip										West Delta	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1975-12-31	1975-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-93.64538	29.14482	28.23660	-94.83279	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2001-01-24	open	https://walrus.wr.usgs.gov/namss/survey/b-21-76-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-21-76-TX.mcs.airgun.zip					dataset	Unspecified		Unspecified	86.7 MB	1976-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1976/namss.B-21-76-TX.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1976-01-31	1976-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
